input,prediction,reference
I'll lhive,This stttnks,I'll live
I'm alonke,Tom is bajd,I'm alone
I'm angrmy,Tom is ntus,I'm angry
I'm olyal,Tom'cl qiut the,I'm loyal
I'mm lfcky,Tom's aloxe,I'm lucky
uet me og,Tom's durnk,Let me go
Stdop thab,Tom's fnnny he,Stop that
Go awwafy,Togm's lucky,Go away
I'm odeaf,We all wrok,I'm deaf
I'm gllad,Wfe rae even,I'm glad
Sheh urns,We bryoke up,She runs
Did I wxn,We cwn ameet,Did I win
Herr I ae,We can'mt go,Here I am
Hlod fuire,We did taht,Hold fire
I oaqn ski,We surbvived,I can ski
I htte t,Wq'r alne,I hate it
I'll lhive,We're hapopy,I'll live
I'm alonke,Whagt a drag,I'm alone
I'm angrmy,Waht a mess,I'm angry
I'm olyal,Wat a pitf,I'm loyal
I'mm lfcky,hWat a team,I'm lucky
uet me og,Who drehw it,Let me go
Stdop thab,Wijl it efit the,Stop that
Go awwafy,Widll you go,Go away
I'm odeaf,Youd fainde,I'm deaf
I'm gllad,You mbst go,I'm glad
Sheh urns,Yoju're free,She runs
Did I wxn,ou're gtod,Did I win
Herr I ae,You'wre safe,Here I am
Hlod fuire,You'r thni,Hold fire
I oaqn ski,Am I in loge,I can ski
I htte t,Ae they enw,I hate it
I'll lhive,Aer we brloke,I'll live
I'm alonke,Are you iald,I'm alone
I'm angrmy,Are you ubsy,I'm angry
I'm olyal,Ar yvou hurt,I'm loyal
I'mm lfcky,Are you hufrt,I'm lucky
uet me og,Are yfou sure,Let me go
Stdop thab,Be conxfwdent,Stop that
Go awwafy,Cane we starkt,Go away
I'm odeaf,aCn yoeu ome,I'm deaf
I'm gllad,Can yout ocme,I'm glad
Sheh urns,Come heqlp me,She runs
Did I wxn,Come wioh me,Did I win
Herr I ae,Di yuo voe last,Here I am
Hlod fuire,Did you vgtoe,Hold fire
I oaqn ski,Do uour bst,I can ski
I htte t,Don't obtaher,I hate it
I'll lhive,Don't kid mue,I'll live
I'm alonke,Don't ramblte,I'm alone
I'm angrmy,Doon't ramble,I'm angry
I'm olyal,Get a docotr,I'm loyal
I'mm lfcky,Go to scrool,I'm lucky
uet me og,Gonod for you,Let me go
Stdop thab,Graob a spon,Stop that
Go awwafy,Havje a donut,Go away
I'm odeaf,aHve a drink,I'm deaf
I'm gllad,Have aonkther,I'm glad
Sheh urns,eH avods mpe,She runs
Did I wxn,He coujd die,Did I win
Herr I ae,Hq dozed off,Here I am
Hlod fuire,He is auleep,Hold fire
I oaqn ski,He is crarnxy,I can ski
I htte t,He is herioc,I hate it
I'll lhive,He kicqed it,I'll live
I'm alonke,aHe lte me go,I'm alone
I'm angrmy,vHe let me go,I'm angry
I'm olyal,He let mf go,I'm loyal
I'mm lfcky,He lost fdace,I'm lucky
uet me og,He nceds you,Let me go
Stdop thab,He was alobne,Stop that
Go awwafy,H wws greawt,Go away
I'm odeaf,He was naixe,I'm deaf
I'm gllad,He's a bbigot,I'm glad
Sheh urns,He's a biyot,She runs
Did I wxn,Hw's maruried,Did I win
Herr I ae,He's oud now,Here I am
Hlod fuire,I aysmire you,Hold fire
I oaqn ski,I alwaps win,I can ski
I htte t,I am akshamed,I hate it
I'll lhive,Ii am so sick,I'll live
I'm alonke,I am o sdck,I'm alone
I'm angrmy,I believze it,I'm angry
I'm olyal,I can mnnage,I'm loyal
I'mm lfcky,I canj't move,I'm lucky
uet me og,I can't snig,Let me go
Stdop thab,I cry easiwl,Stop that
